name,address,icon,userComment,tags
"Moco Museum","HonthorstStraat 20 1071 DE Amsterdam Netherlands","historic","","Musée#Art"
"Van Gogh Museum","Paulus Potterstraat 7 1071 CX Amsterdam Netherlands","museum","","Musée#Art"
"Anne Frank Huis","Prinsengracht 267 Amsterdam Netherlands","museum","","Musée"
"R2 | Rooftop","9 Quai Du Lazaret, Marseille 13004","music","","Nigthclub"
"Bridge Club","Pont Alexandre III, Paris Île-de-France 75008","music","","Nigthclub"
"Ta Sushi","14 Place Jacques Brel 91130 Ris-Orangis France","restaurant","","Restaurant#Japonais#Sushi"
"Casa Amici","43 Avenue du Général Gallieni 94340 Joinville-le-Pont France","restaurant","","Restaurant#Italien#À essayer"
"Bamboo","56 Avenue du Général Gallieni 94340 Joinville-le-Pont France","restaurant","","Restaurant#Coréen#Barbecue"
"Marin D'Eau Douce","37 Quai de la Seine Paris France","boat","","Croisière#Pas cher"
"Sacré","142 Rue Montmartre 75002 Paris France","music","","Nigthclub"
"Au Vieux Cedre","2 Rue Blainville Paris France","supermarket","","Restaurant#Libanais#A emporter"
"Saveurs D'Asie","31 Place Maubert Paris France","restaurant","","Restaurant#Vietnamien"
"O'CD","26 Rue des Écoles 75005 Paris France","shopping","","Disquaire#À essayer"
"Crocodisc","42 Rue des Écoles Paris France","electronics","","Disquaire#À essayer"
"Ipn","23 Rue Mouffetard Paris France","bar","","Bar dansant#À essayer"
"Georges Cafe","4 Rue de la Huchette Paris France","bar","Boissons chères mais bonne ambiance et salle au sous sol ","Bar dansant#Nigthclub"
"Brasserie La Fac","44 Rue des Fossés Saint-Bernard Paris France","beer","Bar étudiant vraiment pas cher ","Bar#Pas cher"
"Calinidon","98 Rue Jean Jaurès, 94800 Villejuif, France","generic","","Restaurant#Japonais#À essayer"
"Machi Machi","5 Rue Chabanais 75002 Paris France","baby","","Bubble Tea"
"Kodawari Tsukiji","12 Rue de Richelieu 75001 Paris France","restaurant","","Restaurant#Japonais#À essayer"
"Kodawari Ramen","29 Rue Mazarine Paris France","restaurant","","Restaurant#Japonais#À essayer"
"2 Bis Cafe-Restaurant","2 Rue des Écoles Paris France","beer","","Bar"
"Take Otac - Panthéon Sorbonne","50 Rue de la Montagne Sainte Geneviève ,75005 Paris","restaurant","","Restaurant#À essayer"
"Les blouses blanches","184 Rue du Faubourg Saint-Antoine Paris France","restaurant","","Bar#Pas cher"
